latitude,longitude,time_observed_at,scientific_name,common_name,iconic_taxon_name,elevation,slope,aspect,ndvi,landcover,impervious,bathymetry,soil_sand,soil_ph,soil_clay,env_data_completeness
32.8744138889,-117.2511138889,2019-04-29 16:31:00+00:00,Abronia maritima,red sand-verbena,Plantae,18.0,33.437034606933594,262.9591064453125,0.09173499047756195,52.0,0.0,13.0,42.0,69.0,24.0,1.0
32.8777411851,-117.250373885,2023-09-23 00:11:52+00:00,Acacia,wattles,Plantae,30.0,24.69865608215332,247.2217254638672,0.11653406918048859,22.0,36.0,5.0,43.0,72.0,27.0,1.0
32.8775583333,-117.2504138889,2021-01-10 15:38:00+00:00,Acacia cyclops,western coastal wattle,Plantae,30.0,24.69865608215332,247.2217254638672,0.11653406918048859,22.0,36.0,5.0,43.0,72.0,27.0,1.0
32.8777616667,-117.2502283333,2025-03-10 21:08:20+00:00,Acacia cyclops,western coastal wattle,Plantae,40.0,22.99052619934082,226.6255340576172,0.11653406918048859,22.0,25.0,5.0,43.0,72.0,27.0,1.0
32.8797720215,-117.2469849452,2025-04-26 01:51:58+00:00,Acacia cyclops,western coastal wattle,Plantae,112.0,4.6273674964904785,180.0,0.17560455203056335,23.0,61.0,5.0,49.0,69.0,20.0,1.0
32.877746582,-117.2502441406,2025-07-02 17:26:07+00:00,Acacia cyclops,western coastal wattle,Plantae,40.0,22.99052619934082,226.6255340576172,0.11653406918048859,22.0,25.0,5.0,43.0,72.0,27.0,1.0
32.878149376,-117.2472256422,2017-02-25 22:30:00+00:00,Acacia longifolia,Longleaf Wattle,Plantae,80.0,7.804172992706299,214.23190307617188,0.216943621635437,21.0,12.0,5.0,48.0,68.0,22.0,1.0
32.8775435721,-117.2503377624,2020-03-01 08:30:12+00:00,Acacia longifolia,Longleaf Wattle,Plantae,40.0,22.99052619934082,226.6255340576172,0.11653406918048859,22.0,25.0,5.0,43.0,72.0,27.0,1.0
32.87779842,-117.25031283,2020-09-20 23:37:35+00:00,Acacia longifolia,Longleaf Wattle,Plantae,40.0,22.99052619934082,226.6255340576172,0.11653406918048859,22.0,25.0,5.0,43.0,72.0,27.0,1.0
32.8776108896,-117.2505802848,2022-04-23 22:18:14+00:00,Acacia longifolia,Longleaf Wattle,Plantae,30.0,24.69865608215332,247.2217254638672,0.11653406918048859,22.0,36.0,5.0,43.0,72.0,27.0,1.0
32.8776326431,-117.2503779251,2024-01-27 18:17:13+00:00,Acacia longifolia,Longleaf Wattle,Plantae,30.0,24.69865608215332,247.2217254638672,0.11653406918048859,22.0,36.0,5.0,43.0,72.0,27.0,1.0
32.87973,-117.247055,2024-03-03 22:03:59+00:00,Acacia longifolia,Longleaf Wattle,Plantae,112.0,4.6273674964904785,180.0,0.17560455203056335,23.0,61.0,5.0,49.0,69.0,20.0,1.0
32.8797369726,-117.2469926788,2024-07-13 20:19:54+00:00,Acacia longifolia,Longleaf Wattle,Plantae,112.0,4.6273674964904785,180.0,0.17560455203056335,23.0,61.0,5.0,49.0,69.0,20.0,1.0
32.8777916667,-117.2502366667,2025-03-10 21:07:54+00:00,Acacia longifolia longifolia,Golden Rods,Plantae,40.0,22.99052619934082,226.6255340576172,0.11653406918048859,22.0,25.0,5.0,43.0,72.0,27.0,1.0
32.868244322,-117.253752798,2017-04-01 18:43:09+00:00,Acalyptratae,Acalyptrate Flies,Insecta,19.0,28.202123641967773,283.97503662109375,-0.0036552115343511105,24.0,90.0,13.0,38.0,70.0,30.0,1.0
32.8714588844,-117.2534190829,2020-01-26 01:43:00+00:00,Acanthinucella,,Mollusca,0.0,3.3092129230499268,270.0,-0.03113218955695629,11.0,0.0,13.0,0.0,0.0,0.0,1.0
32.871525,-117.253595,2022-05-20 14:56:45+00:00,Acanthinucella,,Mollusca,0.0,0.0,-0.0,-0.025152238085865974,11.0,0.0,13.0,0.0,0.0,0.0,1.0
32.871795,-117.253105,2022-05-20 17:08:12+00:00,Acanthinucella,,Mollusca,0.0,12.2708158493042,282.9016418457031,-0.027697177603840828,11.0,0.0,13.0,0.0,0.0,0.0,1.0
32.8712716667,-117.2534333333,2022-07-15 14:37:42+00:00,Acanthinucella,,Mollusca,0.0,14.84603500366211,299.2457275390625,-0.026191864162683487,11.0,0.0,13.0,0.0,0.0,0.0,1.0
32.8713083333,-117.2534783333,2022-07-15 14:49:50+00:00,Acanthinucella,,Mollusca,0.0,14.84603500366211,299.2457275390625,-0.026191864162683487,11.0,0.0,13.0,0.0,0.0,0.0,1.0
