latitude,longitude,time_observed_at,scientific_name,common_name,iconic_taxon_name,elevation,slope,aspect,ndvi,landcover,impervious,bathymetry,soil_sand,soil_ph,soil_clay,env_data_completeness
32.8974075317,-117.0839157104,2025-07-10 18:33:45+00:00,Abutilon palmeri,Palmer's Indian mallow,Plantae,260.0,9.993975639343262,229.98162841796875,0.11835238337516785,52.0,0.0,222.0,42.0,71.0,26.0,1.0
32.8923694444,-117.0898666667,2025-03-05 17:47:00+00:00,Acacia,wattles,Plantae,208.0,11.804858207702637,158.3483428955078,0.1347378045320511,52.0,0.0,222.0,44.0,70.0,27.0,1.0
32.8938659983,-117.094166087,2025-03-05 19:08:00+00:00,Acacia,wattles,Plantae,193.0,4.30974817276001,149.2276153564453,0.18248100578784943,52.0,0.0,186.0,44.0,72.0,27.0,1.0
32.8941616667,-117.09645,2025-04-26 21:08:58+00:00,Acacia,wattles,Plantae,202.0,2.39457106590271,112.77449798583984,0.13410544395446777,22.0,23.0,186.0,42.0,73.0,29.0,1.0
32.89416666,-117.09643089,2025-04-26 21:22:21+00:00,Acacia,wattles,Plantae,202.0,2.39457106590271,112.77449798583984,0.13410544395446777,22.0,23.0,186.0,42.0,73.0,29.0,1.0
32.8941090269,-117.0938072187,2025-04-26 21:47:05+00:00,Acacia,wattles,Plantae,194.0,5.547544956207275,180.0,0.17608611285686493,52.0,0.0,186.0,44.0,72.0,27.0,1.0
32.89416594,-117.09716264,2025-04-26 22:35:22+00:00,Acacia baileyana,Cootamundra wattle,Plantae,202.0,0.0,-0.0,0.15307383239269257,22.0,38.0,186.0,42.0,73.0,29.0,1.0
32.8940638889,-117.0940388889,2025-03-05 19:05:00+00:00,Acacia cyclops,western coastal wattle,Plantae,194.0,5.547544956207275,180.0,0.17608611285686493,52.0,0.0,186.0,44.0,72.0,27.0,1.0
32.8940147638,-117.0940461948,2025-04-15 21:30:39+00:00,Acacia longifolia,Longleaf Wattle,Plantae,194.0,5.547544956207275,180.0,0.17608611285686493,52.0,0.0,186.0,44.0,72.0,27.0,1.0
32.8940666667,-117.094025,2025-04-26 21:34:50+00:00,Acacia longifolia,Longleaf Wattle,Plantae,194.0,5.547544956207275,180.0,0.17608611285686493,52.0,0.0,186.0,44.0,72.0,27.0,1.0
